19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E6CB 0000000000000000 [12] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 200 bcsz
19:22:38.063 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [13] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 15, cpu: 0.0%, 142 bcsz
19:22:38.065 0x1aa00           j9jit.15       - MTH_S: 000000000010C2B8 00007F6C6422DB08 0000000000000000 [1] jdk.internal.module.ModuleBootstrap.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 13 bcsz
19:22:38.065 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F6C64143238 0000000000000000 [2] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 220) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 87 bcsz
19:22:38.065 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E6CB 0000000000000000 [3] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 200 bcsz
19:22:38.065 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [4] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 16, cpu: 0.0%, 142 bcsz
19:22:38.067 0x1aa00           j9jit.15       - MTH_S: 0000000000055060 00007F6C64122E28 0000000000000000 [1] jdk.internal.misc.Unsafe.ensureClassInitialized (Bytecode PC: 0) invokeCountDown: 1997, startSampleCount: 0, gblSampleCount: 17, cpu: 0.0%, 11 bcsz
19:22:38.067 0x1aa00           j9jit.16       - MTH_C: 00000000000B8608 00007F6C641B2A0B 0000000000000000 [2] jdk.internal.misc.SharedSecrets.getJavaNetUriAccess (Bytecode PC: 11) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 17, cpu: 0.0%, 18 bcsz
19:22:38.067 0x1aa00           j9jit.16       - MTH_C: 00000000001111B0 00007F6C642380B0 0000000000000000 [3] jdk.internal.module.SystemModuleFinders.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 17, cpu: 0.0%, 46 bcsz
19:22:38.067 0x1aa00           j9jit.16       - MTH_C: 000000000010BCE8 00007F6C6422BFC4 0000000000000000 [4] jdk.internal.module.ModuleBootstrap.boot (Bytecode PC: 196) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 17, cpu: 0.0%, 82 bcsz
